0,0
0.02,0.0829803
0.04,0.165961
0.06,0.248941
0.08,0.331921
0.1,0.414902
0.12,0.497882
0.14,0.580862
0.16,0.663842
0.18,0.746823
0.2,0.829803
0.22,0.912783
0.24,0.959153
0.26,1.00095
0.28,1.04274
0.3,1.08453
0.32,1.12633
0.34,1.16812
0.36,1.20991
0.38,1.25171
0.4,1.2935
0.42,1.33529
0.44,1.37709
0.46,1.38797
0.48,1.39001
0.5,1.39206
0.52,1.39411
0.54,1.39616
0.56,1.3982
0.58,1.40025
0.6,1.4023
0.62,1.40435
0.64,1.4064
0.66,1.40844
0.68,1.38702
0.7,1.35385
0.72,1.32069
0.74,1.28752
0.76,1.25436
0.78,1.22119
0.8,1.18803
0.82,1.15486
0.84,1.1217
0.86,1.08853
0.88,1.05537
0.9,1.00666
0.92,0.945531
0.94,0.884398
0.96,0.823265
0.98,0.762132
1,0.700999
1.02,0.639867
1.04,0.578734
1.06,0.517601
1.08,0.456468
1.1,0.395335
1.12,0.325955
1.14,0.246265
1.16,0.166574
1.18,0.0868842
1.2,0.00719402
1.22,-0.0724962
1.24,-0.152186
1.26,-0.231877
1.28,-0.311567
1.3,-0.391257
1.32,-0.470947
1.34,-0.553191
1.36,-0.640542
1.38,-0.727892
1.4,-0.815243
1.42,-0.902594
1.44,-0.989945
1.46,-1.0773
1.48,-1.16465
1.5,-1.252
1.52,-1.33935
1.54,-1.4267
1.56,-1.51317
1.58,-1.59657
1.6,-1.67997
1.62,-1.76337
1.64,-1.84677
1.66,-1.93017
1.68,-2.01357
1.7,-2.09697
1.72,-2.18038
1.74,-2.26378
1.76,-2.34718
1.78,-2.42886
1.8,-2.4968
1.82,-2.56475
1.84,-2.63269
1.86,-2.70063
1.88,-2.76857
1.9,-2.83652
1.92,-2.90446
1.94,-2.9724
1.96,-3.04035
1.98,-3.10829
